Risk,Return
0.85,0.1607307913011633
0.86,0.28110422392133533
0.87,0.3571063622281659
0.88,0.41888424788392575
0.89,0.4730065967234937
0.9,0.5222596122760159
0.91,0.5681109638688432
0.92,0.6114476092656868
0.93,0.6528784033825402
0.94,0.6927632592150346
0.95,0.7314363266618342
0.96,0.769119830171512
0.97,0.8059929938621092
0.98,0.8421757665592298
0.99,0.877577107696558
1.0,0.911780655304774
1.01,0.9448872396928747
1.02,0.976443547136922
1.03,1.006069318223853
1.04,1.0329472248415608
1.05,1.0542219403608981
1.06,1.0696842828088418
1.07,1.081557599134632
1.08,1.0913941581229327
1.09,1.1000116924119576
1.1,1.1078616429685633
1.11,1.1151876500725557
1.12,1.1219778520112829
1.13,1.1283264450261887
1.14,1.1343063691834516
1.15,1.1400044664432432
1.16,1.1454723073788613
1.17,1.1507472896914428
1.18,1.1558968826524936
1.19,1.160831365261743
1.2,1.165422848831688
1.21,1.16989321985377
1.22,1.1738911455392946
1.23,1.1777867743262675
1.24,1.1816092872021826
1.25,1.1856913535156273
1.26,1.1896761277629273
1.27,1.1934535338429133
1.28,1.196872688363954
1.29,1.1999950070393444
1.3,1.2028401116781824
1.31,1.2055075161311175
1.32,1.2081204296460681
1.33,1.210687616236506
1.34,1.2132162482322613
1.35,1.2157117502997048
1.36,1.217688963787925
1.37,1.2194355243207768
1.38,1.221090839865727
1.39,1.2225584151486346
1.4,1.2240212446579355
1.41,1.225441367789193
1.42,1.2265441322503194
1.43,1.22764973200771
1.44,1.2287587908179651
1.45,1.229872413542007
1.46,1.2309909672786066
1.47,1.2321150176121494
1.48,1.2332450670095738
1.49,1.2343815670182734
1.5,1.2355249237365216
1.51,1.236675510250898
1.52,1.2378336688119345
1.53,1.2389997099120085
1.54,1.2401740039030908
1.55,1.2413560609947927
1.56,1.242547562371483
1.57,1.2437479409071968
1.58,1.2448137133395416
1.59,1.2457497809219757
1.6,1.246696917547168
1.61,1.2476548326429386
1.62,1.2486236705878218
1.63,1.2496035385260102
1.64,1.2505945922738742
1.65,1.2515969742025153
1.66,1.2526057728189572
1.67,1.2544565002949966
1.68,1.256454510350697
1.69,1.258435914418286
1.7,1.2604112017743196
1.71,1.2623459906232806
1.72,1.2642409558348453
1.73,1.2660685256454611
1.74,1.2678520993404074
1.75,1.2695802375441072
1.76,1.2713057712208888
1.77,1.273028551674446
1.78,1.274752526502539
1.79,1.2764745310279366
1.8,1.2781963715213225
1.81,1.2799187436003978
1.82,1.2816416731598634
1.83,1.2833680688317888
1.84,1.285132163248276
1.85,1.2868412917471854
1.86,1.2881696522773018
1.87,1.2894007896777766
1.88,1.290634077748773
1.89,1.2918698069603387
1.9,1.293108242094761
1.91,1.294350026195176
1.92,1.2955952813628129
1.93,1.2968442652537409
1.94,1.2980973552728732
1.95,1.2993547393156728
1.96,1.3006165389209718
1.97,1.3018830039164266
1.98,1.303155101175276
1.99,1.304431850624178
2.0,1.3057137585864913
2.01,1.3070011224720495
2.02,1.3082938718478139
2.03,1.3095933241712199
2.04,1.3108975889364187
2.05,1.3122103272186478
2.06,1.3135254475683074
2.07,1.3148483128633255
2.08,1.3161781330007625
2.09,1.317513854215063
2.1,1.3187794909525137
2.11,1.3206607782172388
2.12,1.3228152300097054
2.13,1.3249483092175087
2.14,1.3270619467934537
2.15,1.3291573124851568
2.16,1.3312362495597647
2.17,1.3332999458786552
2.18,1.3353495751108047
2.19,1.3373862510304808
2.2,1.3394109690147107
2.21,1.3414246524152165
2.22,1.3434281572370645
2.23,1.3454222754086103
2.24,1.3474077408745955
2.25,1.3493852356722567
2.26,1.351355394832474
2.27,1.353318811023234
2.28,1.3552760377333652
2.29,1.3572275905502555
2.3,1.3591739607635
2.31,1.3611156015012416
2.32,1.363052941632408
2.33,1.364986384753085
2.34,1.3669163105134883
2.35,1.3688430892987669
2.36,1.3707670397013683
2.37,1.3726832134150253
2.38,1.3745935473746052
2.39,1.3764966304223736
2.4,1.3783555566956118
2.41,1.3801731173594927
2.42,1.3819813464920754
2.43,1.3837815016790724
2.44,1.3855738040641195
2.45,1.3873588465422622
2.46,1.3891372300442884
2.47,1.3909095839169812
2.48,1.39267607053117
2.49,1.3944373389009252
2.5,1.3961938599852628
2.51,1.3979458370841495
2.52,1.3996495638464679
2.53,1.4013386447001033
2.54,1.4030239275881655
2.55,1.4047048377982867
2.56,1.4063822171174292
2.57,1.408055611050723
2.58,1.4097258466760296
2.59,1.4113936882397629
2.6,1.4130584782483535
2.61,1.414720811292454
2.62,1.4163811180044155
2.63,1.4180395955100085
2.64,1.4196964286264941
2.65,1.4213514303402586
2.66,1.4230058049115344
2.67,1.4246584012251922
2.68,1.4263104359702048
2.69,1.4279617731351635
2.7,1.4295708772955615
2.71,1.4311548942597496
2.72,1.432737276707553
2.73,1.4343182911875383
2.74,1.435898289512573
2.75,1.4374770291596084
2.76,1.4390546358758423
2.77,1.4406320591441235
2.78,1.4422088115062084
2.79,1.4437852607913562
2.8,1.4453612464607295
2.81,1.4469378668259472
2.82,1.4485138258410704
2.83,1.450090155151513
2.84,1.451666644155341
2.85,1.4532435969054978
2.86,1.4547972341795476
2.87,1.4563147695740004
2.88,1.4578308606624302
2.89,1.4593457353660204
2.9,1.4608594782557265
2.91,1.4623725259889209
2.92,1.4638844037225265
2.93,1.465395719979016
2.94,1.4669064663441456
2.95,1.4684167112750328
2.96,1.4699268448524923
2.97,1.4714366728276163
2.98,1.4729462288217645
2.99,1.4744562814183868
3.0,1.4759660840609532
3.01,1.4774758537290487
3.02,1.4789865482794629
